,head,topic_rep,"0.63: Qandeel murder case, sexual harrasment, child abuse reports"
263,Jared Leto set to play Playboy mogul Hugh Hefner in upcoming biopic,0,
264,Sharif's cousin forms political party,0,
266,"Vegas gunman transferred $100K, set up cameras at hotel room",0,
267,Former chief justice's political party files contempt petition against Nawaz in SC,0,
269,Las Vegas shooter had device that made guns automatic,0,
271,10 expert tips on how to take the perfect food picture,0,
272,Opposition requisitions Senate session to discuss 'conflict between institutions',0,
273,4 Turkish troops killed in attack blamed on Kurd rebels,0,
274,Nobel Chemistry Prize honors electron microscopy,0,
275,What's this new T-10 cricket league and why are Pakistani celebs flocking to it?,0,
276,"Germany cruising, France on thin ice as 2018 qualifiers near climax",0,
278,Argentina’s World Cup hopes on line in crucial Peru clash,0,
279,West Indies unchanged for Zimbabwe Tests,0,
280,Karzai slams new US policy on Afghanistan,0,
281,"Iran, Turkey vow to halt Iraqi Kurds’ secession bid",0,
288,Sputnik — the tiny sphere that launched the space race,0,
293,Female umpire set for historic debut in men’s cricket,0,
294,"Salman in Russia, to meet Putin today",0,
295,Stress fracture rules Pattinson out of Ashes,0,
296,Minister behind change of Khatm-i-Nabuwwat oath be ousted: Shahbaz,0,
297,"India’s central bank holds rates, cuts growth outlook amid slowdown",0,
298,What’s up with the exchange rate?,0,
300,US voices concern about stability of Pakistan government,0,
301,Rangers withdraw personnel from parliament,0,
303,"No consensus on accountability of judges, generals",0,
304,Provinces demand for census financing rejected,0,
305,Bajwa’s visit to Kabul presages new chapter in resolving Afghan conflict: Mattis,0,
306,War-torn Syria target historic World Cup qualification,0,
307,PTI to stay away from NAB chief’s appointment process,0,
308,Court decision clouds NBP’s plan to open China branch,0,
309,"Govt allows sugar export, sets conditions for subsidy",0,
310,Motorcycle prices revved up,0,
311,‘Loadshedding cut by 52pc in 4 years’,0,
312,Stocks plunge to 11-month low,0,
313,"Abbasi seeks govt, private sector input for agri policy",0,
314,Petroleum sales rise 3pc to 2.16m tonnes,0,
315,N. Korea tension threat to Asian growth: WB,0,
316,Senate body on devolution says Centre ‘usurping’ provinces’ rights,0,
317,Masterchef winner Saliha Mahmood is writing a cookbook inspired by Mughal cuisine,0,
318,Pakistan Railways develops IT-based train accident reducing systems,0,
319,Wanting everything,0,
320,British novelist Kazuo Ishiguro wins the Nobel prize in literature,0,
321,"Glaciers, avalanches, and spectacular lakes: My trip to Haramosh Valley",0,
322,"20 killed in suicide bombing targeting shrine in Jhal Magsi, Balochistan",0,
323,PSX flat as benchmark index closes with 7-point gain,0,
326,Iraq forces retake IS bastion Hawija,0,
327,"SC notes discrepancies in Jahangir Tareen's income on tax returns, nomination papers",0,
328,"US, Pakistan have much to gain by working together, stresses Asif",0,
329,Indonesian president urges military to stay out of politics,0,
330,"Saudi Arabia to buy Russian S-400 defence systems, other arms",0,
335,"Police, IB kill one 'LeJ terrorist' in Karachi, 2 others flee",0,
336,Watch Zaid Ali T talk about his dupatta obsession on Knorr Noodles Boriyat Busters!,0,
339,FO rejects Gen Dunford's 'baseless' allegations of ISI's links with terrorists,0,
340,Waiting for Godot,0,
342,"Under fire Tillerson denies rift with Trump over 'moron' comment, vows to remain in post",0,
344,Claims of responsibility for terror attacks by IS 'fake news'?,0,
345,"Generation celebrates feminism again, this time with illustrator Shehzil Malik",0,
348,US gun laws,0,
349,Transgender activist Kami Sid looks unstoppable in the new 'Rani' trailer,0,
350,Gujarat High Court rejects last appeal in 2002 riot case against Modi,0,
352,Macron offers to mediate between Iraqi government and Kurds,0,
354,Suu Kyi to be stripped of Oxford honorary title for response to Rohingya crisis,0,
355,Special report: The making of an HIV catastrophe,0,
358,Authorities probe gunman’s weapons stockpiling,0,
359,"Chances of two-front war are low, says India’s air chief",0,
360,Reward and punishment policy paying off in schools: CM,0,
361,Libyans flee by boat amid ‘terrible’ violence,0,
362,Spanish court pressures Catalans in tense independence standoff,0,
364,Technology crammed into cars worsens driver distraction,0,
369,"Red Arrows, PAF jets entertain crowd at Seaview beach",0,
373,FIA arrests own official in extortion case,0,
374,‘England focused on Ashes despite Stokes’ absence’,0,
375,"Saudi king, Putin clinch billion-dollar energy, arms deals",0,
376,FIFA rates  Russia’s World Cup preparations ‘good’,0,
377,Govt left red-faced by outbursts of allies in National Assembly,0,
378,"PSL franchises retain nine players each, Multan to pick on 10th",0,
379,Fata legislators hold sit-in near Parliament House,0,
380,PTI nominates three for NAB chief’s post,0,
381,SC receives more pleas against election law,0,
382,Pakistan warns India against targeting its N-installations,0,
383,Bill authorising parliament to appoint judges ready,0,
384,Economic Coordination Committee to consider deregulating diesel price today,0,
385,Cotton production grows by 50 per cent,0,
386,Punjab seeks Rs7.10 reference tariff for LNG power plant,0,
388,Stocks finish flat as volatility persists,0,
389,Dar directs FBR to focus on broadening tax base,0,
390,Nepra accused of delaying power sector reform bill,0,
391,Pakistan seeks PTA with Vietnam,0,
392,EM fund managers go for exotic currencies,0,
393,"Saudi unemployment up, economy stagnant despite reforms: IMF",0,
394,Sri Lanka seek to end Pakistan’s impressive record in UAE,0,
395,Gunathilaka suspended for six matches over misconduct,0,
396,Late penalty keeps Syria’s World Cup dream alive,0,
397,Crucial second Test weighs heavily on Sarfraz’s mind,0,
398,Sri Lanka  axe Malinga for Pakistan ODIs,0,
400,SBP’s reserves drop to two-year low,0,
401,Who’s in charge?,0,
402,"Ranveer, Deepika reportedly seeking psychiatric help after shooting 'Padmavati'",0,
403,Lawmakers affected by IB 'terrorism list' demand clarification by government,0,
404,Disqualification case: Imran submits more documents to Supreme Court,0,
406,"Imran demands KP, Fata merger process kick off by 2018",0,
407,"India gives away 27,000 tickets to avoid World Cup 'embarrassment'",0,
408,Pakistan genuinely concerned about India's role in new US strategy: Khawaja Asif,0,
409,Fast and Furious 9 movie release postponed,0,
411,Who are the members of the global nuclear club?,0,
414,Karachi's Shia leaders offer voluntary arrest in protest against forced disappearances,0,
416,Khaadi's new megastore in Lahore will launch with a 38-hour sale this weekend!,0,
418,PIA to introduce new Lahore-Delhi flight,0,
419,Air China increases flights on Beijing-Islamabad sector,0,
420,International Campaign to Abolish Nuclear Weapons wins 2017 Nobel Peace Prize,0,
424,"Deadly tropical storm Nate kills 22 in Central America, heads for US",0,
425,"With decision looming, Trump blasts Iran over nuke deal",0,
426,"While grievances of Iraqi Kurds are genuine, timing of the referendum is questionable",0,
427,"Weekend grub: If you think healthy food can't be delicious, Evergreen will prove you wrong",0,
428,"Indian Air Force helicopter crashes, killing all 7 on board",0,
430,At least 19 killed in train-bus collision in Russia,0,
431,Brazil Olympic committee chief arrested on Rio 2016 corruption charges,0,
434,Mahira Khan is in love in Verna's latest track 'Sambhal Sambhal Kay',0,
435,"Dr Asim Hussain returns to Karachi, warns Nawaz Sharif on 'warring' with military",0,
436,Boeing-backed startup eyes hybrid electric plane in 2022,0,
437,Renault wants half its cars to be electric or hybrid in 2022,0,
438,Rumman’s nine bowls UBL to second straight innings win,0,
439,"Germany, England seal 2018 berths; Poland close",0,
440,Nadal sets up semi-final showdown with Dimitrov,0,
441,Empty seats in second Sri Lanka Test an eyesore as Pakistan toil,0,
442,South Africa plunder 428-3 on first day,0,
443,"Australians give up 51,000 illegal guns as govt stands by tough laws",0,
447,Deal inked with Chinese company to lift garbage from two Karachi districts,0,
450,Indian state to inspect cultivation of unapproved Monsanto GM cotton,0,
452,Madrid rules out dialogue unless Catalonia drops independence bid,0,
453,Iran keen to promote trade with Pakistan,0,
454,Chinese envoy briefs parliamentary panel on CPEC projects,0,
455,State Bank shoots back at NAB,0,
456,Story Time: Sleepy head,0,
457,Rejoinder to India in Jadhav case discussed,0,
458,"Terror list with 37 names is fake, IB chief tells lawmakers",0,
459,"KP will ask army to withdraw troops, says Imran Khan",0,
461,Shah hopes for early consensus on NAB chief’s name,0,
462,Ecnec approves revival of Karachi Circular Railway under CPEC,0,
463,Fertiliser makers for export deadline extension,0,
464,Across-the-board accountability plan dropped: minister,0,
465,Govt lobby active to abolish Khatm-i-Nabuwwat articles: JI chief,0,
466,KP judge moves SC against JC rejection of his nomination,0,
467,"Poor governance, corruption hamper food security in Pakistan: ADB",0,
468,Asim Bajwa assumes charge of Southern Command,0,
470,Economic Coordination Committee takes sweeping measures to tackle growing deficits,0,
471,Split emerges within FPCCI,0,
472,CPEC passes through disputed territory: US,0,
474,FC Balochistan foils major terrorist bid: ISPR,0,
475,"After army chief's visit, Afghan president considers trip to Pakistan",0,
478,"Junaid Khan will be playing a ""simple man"" in upcoming serial, Khasara",0,
479,Hum Style Awards 2017 nominations are out. Did your favourite make the cut?,0,
480,Four 'terrorists' killed in Karachi shootout: police,0,
481,"Political decisions should be taken at polling stations, not courts: PM Abbasi",0,
482,Bangladesh's mega refugee camp plan 'dangerous': UN official,0,
483,Jackie Chan confirms Rush Hour 4 in the works after fans' decade-long wait for sequel,0,
485,Admiral Zafar Mahmood Abbasi takes charge of Pakistan Navy,0,
487,Arjun Kapoor and Parineeti Chopra are reuniting for two new projects,0,
490,Story Time: The day I got lost!,0,
492,Cook-it-yourself: Pizookie,0,
494,Pakistanis enjoy a taste of Kashmir at this shikara-shaped kiosk in Muzaffarabad,0,
495,Praetorian rule of law,0,
500,14 killed as wagon collides with bus in Balochistan's Mastung,0,
501,Weird buyer’s market brewing for hurricane cars,0,
502,Google to use balloons to provide Puerto Rico cell service,0,
503,Karunaratne misses double ton but SL take command,0,
504,Pakistan off to Dhaka for hockey Asia Cup,0,
505,"Injury to Amir, poor planning leave Pakistan in disarray",0,
506,Australia struggle in rain-marred first T20,0,
507,Turkey-backed rebels in new Syria operation: Erdogan,0,
508,Injured Smith leaves India tour,0,
509,US approves sale of $15bn missile system to S. Arabia,0,
510,26 protesters held outside Indian consulate in Hambantota,0,
511,Spain protesters demand action over Catalonia crisis,0,
512,Danish police find decapitated head of Swedish journalist,0,
513,Thousands protest across Australia against giant Adani coal mine,0,
514,"Bangladesh in tatters after Amla, du Plessis hit centuries",0,
515,Strong demand for cotton keeps prices firm,0,
516,"Dar not to attend World Bank, IMF meetings amid graft case",0,
517,Wheat stocks hit historical peak of 9m tonnes,0,
518,Trump rolls back Obamacare provision for free birth control,0,
519,Is anyone thinking about the future of Jammu?,0,
520,"Pakistan dismisses US concerns on CPEC, urges world to focus on India's atrocities in Kashmir",0,
522,15 killed in accident on Quetta-Sibi highway,0,
523,PML-N probe body to fix blame for controversial Khatm-i-Nabuwwat amendment,0,
525,PM Abbasi assails PPP on its home turf,0,
526,PIA mulls suspending flight operation for US,0,
527,KP seeks Asian Development Bank's help for health sector reforms,0,
529,SMEs losing ground to imports from China,0,
530,Pakistan warned against delaying anti-tax evasion measures,0,
531,PNSC eyes marine services business,0,
532,"US, Pakistan stay engaged to defuse tensions",0,
535,Chandio asks Imran to mind his language,0,
536,Cult Indian filmmaker Kundan Shah passes away,0,
537,Attack on Saudi palace in Jeddah kills 2 royal guards,0,
538,"Trump says North Korea diplomacy has failed, 'only one thing will work'",0,
541,Imran threatens agitation in Islamabad if Nawaz 'destroys order',0,
542,Former ISI chief Lt Gen Rizwan Akhtar takes early retirement from army,0,
543,'How did IS emerge in Afghanistan under US watch?' asks Hamid Karzai,0,
544,"'Only dialogue can resolve Kashmir issue,' concur former ISI, RAW chiefs",0,
545,Justice (retd) Javed Iqbal appointed NAB chairman,0,
546,CPEC has nothing to do with territorial sovereignty disputes: China responds to US criticism,0,
547,CM Shahbaz celebrates arrival of Orange-Line Metro in Lahore,0,
548,Second Test: Sri Lanka 34-5 at close as Pakistan fight back,0,
549,US missions in Turkey halt visa services over security concerns,0,
555,IG recommends daily allowance for police at current revised rate,0,
556,Oil tanker catches fire at filling station,0,
557,"Nawaz won’t succeed in causing institutional rift, says Shafqat",0,
558,The tomb of the man who conquered Delhi,0,
559,Six-month plan devised to eliminate dengue larvae in Peshawar,0,
561,Federal Law Minister Zahid Hamid meets Shahbaz,0,
563,FICTION: THE MONSTERS WITHIN US,0,
568,Iran confirms nuclear negotiator imprisoned for spying,0,
569,IS ousts Syrian troops from jihadist bastion,0,
570,Women march through desert for Israeli-Palestinian peace,0,
571,"US aiding IS in Afghanistan, says Karzai",0,
572,India whip Australia in rain-hit first T20,0,
573,Winless quartet face crunch time in Quaid Trophy,0,
574,Costa Rica clinch World Cup berth on Waston’s late goal,0,
575,Saudis tackle border spillover from Yemen war,0,
576,Ronaldo sets up Swiss showdown; France on brink of World Cup,0,
577,US missions in Turkey halt all non-immigrant visa services,0,
578,Drone kills five Al Qaeda suspects,0,
579,Was US military behind top Russian army official’s killing in Syria?,0,
581,Refugee issue complicates Merkel’s bid to form govt,0,
583,"Kim Jong Un promotes sister, reaffirms nuclear drive",0,
584,Trump says US has no immediate plan to move embassy to Jerusalem,0,
585,The ACLU: fighting for US civil rights for nearly a century,0,
586,Nigeria first team from Africa to qualify for Russia World Cup,0,
587,View from abroad: Jeremy Corbyn’s epic journey,0,
588,"Committee set up on SHC order frames police transfer, posting rules",0,
589,"PPP rejects PM’s graft allegations, reminds him of LNG scam",0,
591,Alternative plan to run Orange Line train,0,
592,Abe vows to tackle N. Korea threat ahead of election,0,
593,Second Test: Bizarre last session leaves Dubai Test in the balance,0,
594,Creating the right kind of jobs should be the priority for Pakistan,0,
595,"Nine years since the recession, why are employers still stingy with raises?",0,
596,India doing propaganda against CPEC to divert attention from Kashmir: Abbasi,0,
597,First train of Orange Line project unveiled in Lahore,0,
598,Fata sees largest increase in number of voters,0,
600,"Provinces seek real time access to oil, gas, power data",0,
601,"US bases to come under threat if it imposes sanctions, says Iran",0,
602,White nationalists return to US city for protest,0,
603,Fata-KP merger issue being exploited for political gains: Fazl,0,
604,Sponsors of hydropower projects accuse govt of reneging on commitments,0,
605,"Govt awaiting inquiry report on Rangers deployment, says Ahsan",0,
606,‘Reforms set quality education wheel in motion’,0,
607,Letter from Mumbai: India looks to cut dependence on edible oil imports,0,
608,Macroeconomic risks in Pakistan increasing: World Bank,0,
609,Rupee report: Dollar gains against rupee,0,
610,Four reasons why devaluation will hurt the Pakistani economy,0,
612,Hardly any progress in bilateral relations with Iran,0,
613,Human capital remains underdeveloped,0,
614,Lag in data reporting leads to low ranking in global index,0,
615,The influence of analysts’ reports on investors,0,
616,Tubewells hurting Punjab subsoil water health,0,
617,Rice exports off to a flying start,0,
618,Distressed enterprises need a better support mechanism,0,
619,Keeping competition out: Iran start-ups thrive despite sanctions,0,
620,JCSC chief Gen Zubair invited to Washington conference,0,
621,12th anniversary of 2005 quake observed amid ‘unfulfilled’ promises,0,
625,Qatar crisis can end if Doha gives up FIFA World Cup: UAE security official,0,
628,PPP files motion in Senate against 'US attempt to sabotage CPEC',0,
629,Red Cross to reduce Afghanistan presence after deadly attacks,0,
630,Ranveer Singh is giving off major Khal Drogo vibes in the new Padmavati trailer,0,
631,Richard Thaler of US wins Nobel Economics Prize,0,
633,"Islamabad sees large rallies for early merger of Fata, Khyber Pakhtunkhwa",0,
634,Vital to tackle disappointment of people: HRCP,0,
635,Indian forces kill 'wanted' JeM militant leader in held Kashmir,0,
636,PM formally dismisses Intelligence Bureau 'monitoring list' as fake,0,
637,Turkey hopes US will review decision to halt visa services,0,
639,20 Indian farmers die after inhaling pesticides while spraying crops in Maharashtra,0,
640,X-SQUARE: A FITTING LOSS FOR A FIT UNIT,0,
643,German conservative parties say they agree on migrant limit,0,
644,Black rhino to return to Chad after South Africa deal,0,
645,Pakistan no more reliant on US for military needs: Prime Minister Abbasi,0,
646,India's top court bans firecracker sales before Diwali,0,
652,3 Hazaras among 5 shot dead on Quetta's Kasi road,0,
654,Firefighting to shore up reserves,0,
656,Govt asked to set up separate zone for six backward dists,0,
657,Tom Petty returns near top of Billboard album sales chart after death,0,
658,PTI seeks disqualification of KP MPA Ziaullah Afridi for joining PPP,0,
661,US Vice president exits NFL game after anthem protest,0,
663,"At least 12 dead, scores missing in Rohingya capsize: officials",0,
665,Top Republican lawmaker says US on course for WWIII with Trump at helm,0,
666,Trump sends Congress immigration legislation priorities,0,
667,ICC set to approve long awaited 'World Test Championship': report,0,
668,"Small screen, big scream",0,
669,"Senate panel gives Sindh govt, PR 15 days to resolve issues for KCR revival",0,
675,Malala tweets a photo of her first day at Oxford,0,
677,Thousands evacuate as California wildfires kill 10,0,
678,Taking sides on CPEC,0,
679,"From flying taxis to robocops, Dubai as a tech pioneer",0,
681,Global logistics body elects Pakistani as president,0,
684,PTI ‘tacitly’ endorses NAB chief’s appointment,0,
685,Fiscal deficit for July-Sept drops to 10-year low,0,
686,Sindh CM voices concerns over working of SC-appointed water commission,0,
688,Fata reforms protesters not convinced by PM’s assurance,0,
690,SJC reserves ruling on reference against LHC judge,0,
691,Pakistan capable of thwarting any aggression: Bajwa,0,
692,"Real-time access to fuel, power data for provinces approved",0,
693,Three soldiers martyred in North Waziristan attack,0,
694,Pakistan attempts to restart Afghan peace process,0,
695,"Strike, protest against braid-chopping in India-held Kashmir",0,
696,SC allows appeal against LHC’s ruling on standard of higher education,0,
697,Abbasi ousts long-time aide in row over funds for LNG,0,
698,South Asia no longer world’s fastest-growing region,0,
699,FPCCI urges immediate release of refunds,0,
700,ANP slams centre for ‘ignoring Balochistan’,0,
702,Sustainable farming needed for food security: FAO,0,
703,"Why the most ambitious initiative to change Fata’s status is put on hold
",0,
705,"PTI to 'closely monitor' progress of newly appointed NAB chief, says Imran",0,
707,Iran warns US on designating Revolutionary Guards terrorist group,0,
710,"Woman repatriated to India-held Kashmir as 'goodwill gesture', says ISPR",0,
713,"Cabinet refers federal jobs quota issue to Parliament, CCI",0,
714,"Catalan leader says 'has mandate to declare independence', proposes more dialogue",0,
715,Bangladesh arrests top leaders of Jamaat-e-Islami,0,
716,"4 militants, Indian soldier killed in fighting in held Kashmir",0,
717,"Jahangir Tareen case: SC raises questions on ownership of 18,500-acre land",0,
718,Two killed in vehicle ambush on Kenya coast,0,
720,Gloves off as Japan election campaign starts,0,
721,Crux day for Spain as Catalan leader decides on independence,0,
723,Do you know how to support friends and family through mental illness?,0,
725,Striking gold at the landfill,0,
726,Public-sector strikes add to pressure on France's Macron,0,
727,Farhan Saeed bags his first film with Punjab Nahi Jaungi writer Khalil ur Rehman,0,
728,"Gulalai violated PTI's laws, Imran's lawyer tells ECP",0,
730,PIA incurs losses worth over Rs146 billion in last 4 years,0,
732,"Sri Lanka thrash Pakistan, claim Test series",0,
734,FIFA 2022: UAE official calls for Qatar to 'repudiate policies supporting terrorism',0,
735,N. Korea hacked South’s war plan: report,0,
736,Russia says US ‘pretending’ to fight IS in Iraq,0,
737,India may allow female Haj pilgrims to travel without male guardian,0,
738,"20,000 evacuate as California wildfires kill 10",0,
740,Asif takes 11 as Wapda whip Islamabad,0,
741,Ancient pools near Jerusalem set for renovation,0,
742,Aussies dash war-torn Syria’s World Cup hopes in extra time,0,
743,Catalan leader suspends independence pending talks,0,
744,Nasa astronauts go spacewalking outside ISS again,0,
745,‘Cash-starved’ PHA cracks down on defaulters,0,
746,"Don’t undermine nuclear deal, Iran warns US",0,
747,Has UN failed the Rohingyas?,0,
753,Mental Health Authority to be activated: minister,0,
754,Starc urges Aussie fans to target Stokes,0,
755,Unprecedented rise in US air strikes in Afghanistan,0,
756,Time for Pakistan to do some serious soul-searching,0,
757,Kabul puts off transit trade meeting with Pakistan,0,
758,Sindh okays Rs6.47bn development schemes,0,
759,Senators raise questions over Gen Rizwan Akhtar's premature retirement,0,
760,Rock thrown at Australian team bus after they thrash India in 2nd T20 to level series,0,
761,"Eight dead, 19 injured in bus accident near Larkana",0,
762,Cabinet decides to revise quota system in country,0,
763,"Overbilling by power companies to be criminalised, NA told",0,
764,"A-level students ineligible for admissions to MBBS, BDS",0,
765,Trump suggests he’s smarter than Tillerson,0,
768,Two 4-star hotels in Multan,0,
769,SJC to begin examining evidence against IHC judge early next month,0,
770,PPP files petition against Election Act 2017,0,
771,Motion submitted in Senate to seek govt views on India-US nexus against CPEC,0,
772,Nepra grants KE 70 paisa tariff increase after review,0,
773,Remittances see small annual rise,0,
774,Auto sales race up 27pc,0,
775,New channel for LNG vessels at Port Qasim,0,
776,Tariff for Discos to go up by Rs2,0,
777,MTR revision deadline moved to 16th,0,
778,FCA to set production targets for Rabi season,0,
779,Body on accountability law meets today amid little sign of consensus,0,
780,Motorcycle ambulances see the light of day,0,
781,"Medication errors cause half a million deaths in Pakistan, say pharmacists",0,
783,"FIFA suspends Pakistan Football Federation as its 'offices, accounts remain in court's control'",0,
784,China catching up to US in foreign aid flow,0,
785,Apple and A R Rahman are setting up two music labs in India,0,
786,"Land, whether owned or leased, has to be declared in election forms, SC tells Tareen's lawyer",0,
787,Spanish PM demands clarity from Catalonia on independence,0,
789,Irked SC judges ask AG to submit reply on NAB's plea bargain practice,0,
790,15 dead as wildfires torch California wine country,0,
791,NAB directed to probe financial irregularities in construction of Islamabad airport baggage terminal,0,
792,5 thoughts I had after this year's Magnum Chocolate Party,0,
794,Former CJP Tassaduq Jillani designated ad hoc judge in Jadhav case: Foreign Office,0,
795,Bajwa urges govt to expand tax base in order to break 'begging bowl',0,
796,"LNG import deal with Qatar will destroy Sui Southern Gas, warns Sheikh Rasheed",0,
797,FBR achieves 20pc revenue collection growth in first quarter,0,
798,West is threatening Russian sovereignty: Moscow MPs,0,
799,Iran deports over 70 Pakistanis for travelling without documents,0,
802,"Pakistanis invested $8 billion in Dubai real estate in last 4 years, NA committee told",0,
803,Senate adopts resolution against disqualified persons holding party office,0,
804,Gunbattle leaves 4 dead in India-held Kashmir,0,
805,CDA finds violations in lawmaker’s under-construction plaza,0,
807,‘Capital’s master plan should have been revised every 20 years’,0,
808,‘Wider public debate needed on death penalty’,0,
809,Imran threatens agitation if corrupt people protected,0,
810,Perera stars as SL end Pakistan’s unbeaten run in UAE,0,
811,The First Anglo-Afghan War shows us how the same pattern follows whenever Afghanistan is invaded,0,
813,"The bridal market is flooded with same-looking designs, says Sadaf Fawad Khan",0,
814,Melting of ice,0,
815,Saudi-bound PIA flight makes 'technical' landing in Lahore after smoke detection,0,
816,US bombers fly over Korean peninsula in show of force,0,
817,A sorry state of affairs: No new admission to Sahiwal University,0,
818,ECP rejects Milli Muslim League's party registration application,0,
819,Retired justice Javed Iqbal takes charge as new NAB chief,0,
823,US rules out negotiated IS withdrawal from Raqa,0,
825,Picasso’s mansion set to sell for $24m,0,
826,"Turkey, US discuss visa crisis in phone talks",0,
827,‘Pakistan will make Asia Cup final’,0,
828,"Lead or leave, UK Labour tells embattled premier",0,
829,Spanish govt threatens to suspend Catalonia’s autonomy,0,
830,Trump sees power as military strength — and nukes as the apex of that power,0,
831,Ruthless UBL canter to third innings win,0,
832,China protests to US over sail-by in disputed waters,0,
833,"Once in a pickle, French cornichons back in business",0,
834,"Coffee shop sealed, ice cream factory rewarded",0,
837,"Sindh’s population to double  in 30 years, experts warn",0,
838,"PSP to bring in own chief minister after general elections, says Kamal",0,
841,Non-regularisation of jobs: Visually impaired people block Metro route for 10 hours,0,
842,Orange Line Train project: CM’s remarks seen as ‘incitement to public violence’,0,
843,PFA to ban vanaspati ghee by July 2020,0,
844,"Portugal, France book World Cup tickets; Dutch to stay home",0,
846,US out of World Cup for first time since 1986,0,
848,‘Changes to Tests must be in line with new structure’,0,
851,"No Fata-KP merger without referendum, says Fazl",0,
852,New Afghan peace talks likely in Oman next week,0,
853,"Don’t look at CPEC from Indian perspective, Pakistan asks US",0,
855,"Law to amend voluntary return pending before Senate, SC told",0,
856,"Three NA panel heads, two state ministers and 11 parliamentary secretaries appointed",0,
858,Honda bikes selling on black market in Karachi,0,
859,Messi treble lifts Argentina to World Cup,0,
860,"Trump meets Trudeau, says NAFTA negotiations will be 'tough'",0,
861,LPG pricing passed to producers,0,
862,Dollar rising in open market,0,
863,Sponsors’ input sought on reprioritising projects,0,
864,Stocks continue losing streak amid choppy trade,0,
865,Wheat production target set at 26.4m tonnes,0,
866,PTCL posts lower profits,0,
867,FIFA finally suspends PFF but still no resolution in sight,0,
868,"Captain, coach’s short-sighted approach could put Pakistan in reverse gear",0,
869,Aussie cricketers shaken after rock thrown at team bus in India,0,
870,Qatar says World Cup hosting ‘not up for discussion’,0,
871,"Trade deficit surges on, September data shows",0,
872,‘Commission has failed to fix responsibility for missing persons’,0,
873,"PTI’s policy of ‘change’ has failed, says Hoti",0,
875,Pakistan’s Sania Nishtar to head WHO’s commission to tackle non-communicable diseases,0,
876,"70 migratory birds retrieved, 4 poachers arrested in Badin: Wildlife department",0,
877,Rival Palestinian factions Hamas and Fatah reach agreement,0,
880,Nisar urges Nawaz to avoid confrontation with courts,0,
881,Swedish university finds Arabic characters in Viking Age script,0,
882,"Jahangir Tareen did not disclose entire income to ECP, observes SC",0,
884,Hanif Abbasi requests SC not to consider 'unverified' documents submitted by Imran,0,
886,Erdogan accuses US of 'sacrificing' relations with Turkey,0,
887,Asteroid grazes past Earth in ‘critical’ rehearsal,0,
889,"People's Party will support Fata reforms despite JUI-F's opposition, says Zardari",0,
890,Bangladesh bans three charities from giving Rohingya aid,0,
892,Gen Bajwa conveys concerns over regional instability to US,0,
893,"PM Abbasi distances himself, PML-N from Safdar's tirade against Ahmadi community",0,
894,Living Colours: ‘Ride-hailing apps can improve all existing public transport’,0,
897,Aamir Khan was scared to do Dangal as the character was 'too close' to his actual age,0,
899,Pope to visit Myanmar as anti-Rohingya hatred seethes,0,
900,Is the ice breaking with Kabul?,0,
902,Capt Safdar’s tirade,0,
905,Inside a Goan kitchen in Karachi,0,
906,No shortcut to salvation,0,
908,"PTI, MQM scuttle consensus on new accountability law",0,
909,Trump warns 'disgusting' press after nuke report,0,
910,Tribal women flay Islamabad police for violence,0,
911,"Pakistan's real estate divide
",0,
912,Envoy says US cooperation helped reduce attacks in Turkey,0,
913,Magnum Chocolate Party proved that jackets and blazers are back in a big way,0,
915,Dwarf planet has a ring to it: study,0,
916,Arrest warrants issued for Imran for 'repeatedly failing to appear' before ECP,0,
918,ICC urges higher pay to stop women leaving game,0,
919,Iraq court orders arrest of Kurd independence vote organisers,0,
920,IMF sounds alert over debt in largest economies,0,
921,Property tycoon tops China’s rich list,0,
922,NZ coach wary of ‘phenomenal’ India,0,
923,Stokes will speak at ‘right time’,0,
924,Aussies look to end India  tour on a high,0,
925,"Swiss prosecutors open World Cup bribery probe against PSG president, Valcke",0,
926,Federal Minister calls for action after PFF ban,0,
927,India’s Nehra retires from international cricket,0,
928,England can’t win Ashes without Stokes: Waugh,0,
929,"Fatah, Hamas sign accord for Palestinian reconciliation",0,
930,Trump poised to break with allies as US goes it alone on Iran,0,
931,Civilians start pouring out of Raqa,0,
932,Erdogan bemoans US is mistreating Turkey,0,
933,Spain celebrates national day amid Catalan secession crisis,0,
934,Oxford to ban petrol and diesel cars in 2020,0,
935,"Hundreds missing, 23 dead as dry gusts fan California wildfires",0,
936,Iraq links talks with Kurdish pledge to unity,0,
937,Bulgarians use ‘speed dating’ to know migrants,0,
939,Macron launches second round of reforms,0,
941,Aaqib shocked at Pakistan’s poor show in SL Tests,0,
942,"Brexit talks in ‘disturbing deadlock’, says EU official",0,
943,Ireland to make Test debut against Pakistan next year,0,
945,FBR launches income tax awareness drive,0,
946,"US-Canadian couple, three children freed from terrorist custody in Kohat",0,
948,US sends high-level delegation in move to repair relations,0,
950,Cabinet body okays import of 100MW from Iran,0,
951,Irsa fears unusual water shortage for Rabi crop,0,
952,Journalist gunned down in Swabi,0,
953,"Trump praises Pakistan, hopes cooperation will continue in future too",0,
954,Tareen’s counsel describes SC query as ‘difficult’,0,
955,PML-N probe committee on Khatm-i-Nabuwwat oath issue finalises report,0,
956,Pakistan hope to subdue rejuvenated Sri Lanka in ODI rubber,0,
957,PPP moves bill in Senate to amend new election law,0,
958,No other govt has served south Punjab the way PML-N has: Shahbaz,0,
