UserName,FullName,Date,First Hashtags,Alt Hashtags,Tweet (Message Text),Retweets,Retweets (w/ Text),Likes,Likes (w/ Text),URL Path
@yahya_nav @yahya_nav @yahya_nav @yahya_nav @yahya_nav @hyzaidi @BBCUrdu,Yahya Naveed‏ @yahya_nav,18m18 minutes ago,,,"If you're into western set of 'equality/freedom' thoughts then also realize that the number of women quitting monogamy or even developing incestual relations in west is rising high. You give them freedom,they'll go crazy for more. There's a reason Islam had limits at first place",,"Retweet
    
      
    
  
  
    
      
      Retweeted",,"Like
    
      
    
  
  
    
      
      
      Liked",/yahya_nav/status/991431869450272769
@EmanAmerDar @EmanAmerDar @EmanAmerDar @EmanAmerDar @EmanAmerDar @cleoxopatra,Eman Dar‏ @EmanAmerDar,41m41 minutes ago,,,"People can be so stupid in explaining their point 
Why in the hell he’s comparing men with insects and women with a lollipop",,"Retweet
    
      
    
  
  
    
      
      Retweeted",,"Like
    
      
    
  
  
    
      
      
      Liked",/EmanAmerDar/status/991426059865350144
@marvisirmed @marvisirmed @marvisirmed @marvisirmed @marvisirmed @marvisirmed @TalatHussain12,Marvi Sirmed‏Verified account @marvisirmed,50m50 minutes ago,,,"And Ten: This one is for The Economist. As much as the entire concept of turning women into walking tents is repulsive to me personally, it was nauseating to hear you going on and on about the choice of Mr. Khan's wife. Why you think he should influence her into not wearing veil?",1   6 6,"Retweet
    
      
    
  
  
    
      
      Retweeted",,"Like
    
      
    6
  
  
    
      
      
      Liked
    
      
    6",/marvisirmed/status/991423836947173379
@ShabnamSyedKha2 @ShabnamSyedKha2 @ShabnamSyedKha2 @ShabnamSyedKha2 @ShabnamSyedKha2,Shabnam Syed Khan‏ @ShabnamSyedKha2,3h3 hours ago,,,"@PPP_Org PPP, so proud that the PPP is being appreciated for respect for women! Bravo!",,"Retweet
    
      
    
  
  
    
      
      Retweeted",,"Like
    
      
    
  
  
    
      
      
      Liked",/ShabnamSyedKha2/status/991387870203138049
@Hfareed515PT @Hfareed515PT @Hfareed515PT @Hfareed515PT @Hfareed515PT,FareedhocainPT‏ @Hfareed515PT,3h3 hours ago,,,According to my point of view beauty is a GOD gift but women sometime utilize this beauty in worst condition pic.twitter.com/CqWMBcIpnz,2 2,"Retweet
    
      
    
  
  
    
      
      Retweeted",,"Like
    
      
    2
  
  
    
      
      
      Liked
    
      
    2",/Hfareed515PT/status/991386210064064513
@shamskhan57 @shamskhan57 @shamskhan57 @shamskhan57 @shamskhan57 @MaizaHameed,Shams Khan‏ @shamskhan57,5h5 hours ago,,,Confused do you own Rana Sanaullah & Talal statement on women or not dont portray yourself as naik perveen,1 1,"Retweet
    
      
    
  
  
    
      
      Retweeted",,"Like
    
      
    1
  
  
    
      
      
      Liked
    
      
    1",/shamskhan57/status/991353962942156801
@MuhdLaiq @MuhdLaiq @MuhdLaiq @MuhdLaiq @MuhdLaiq,M.L .Yusufzai‏ @MuhdLaiq,6h6 hours ago,,,These idiot politicians have no point to criticise opponents resort to disrespect women,,"Retweet
    
      
    
  
  
    
      
      Retweeted",,"Like
    
      
    
  
  
    
      
      
      Liked",/MuhdLaiq/status/991351562873331712
@abdullahmalikk @abdullahmalikk @abdullahmalikk @abdullahmalikk @abdullahmalikk,Abdullah Malik‏ @abdullahmalikk,10h10 hours ago,#عورت_کوعزت_دو,,Will @MaryamNSharif condemn the kind of language Abid Sher Ali and Rana Sanaullah used against women?  #عورت_کوعزت_دو,1 1,"Retweet
    
      
    1
  
  
    
      
      Retweeted
    
      
    1",,"Like
    
      
    
  
  
    
      
      
      Liked",/abdullahmalikk/status/991291118695473152
@UsmanAl03213793 @UsmanAl03213793 @UsmanAl03213793 @UsmanAl03213793 @UsmanAl03213793,Usman‏ @UsmanAl03213793,12h12 hours ago,,,"What is the difference between feminist and explosive vest ?
I think 
.
.
.
.
.
Explosive vest when goes off it achieves something",5 5,"Retweet
    
      
    
  
  
    
      
      Retweeted",,"Like
    
      
    5
  
  
    
      
      
      Liked
    
      
    5",/UsmanAl03213793/status/991250262890344449
@marvisirmed @marvisirmed @marvisirmed @marvisirmed @marvisirmed @RabiaAnumm,Marvi Sirmed‏Verified account @marvisirmed Rabia AnumVerified account @RabiaAnumm,15h15 hours ago,,,"Way to go Rabia. Women and sensible men need to revolt against mesogyny. If not now, when? If not us, who? https://twitter.com/RabiaAnumm/status/991018090069725190 … Will boycott interviewing Abid Sher Ali, Rana Sanaullah and all such misogynist creeps if they don’t publicly apologise. Enough is enough. 
All female anchors/journos should boycott them. #RespectWomen",35 36 36 255 255,"Retweet
    
      
    36
  
  
    
      
      Retweeted
    
      
    36",,"Like
    
      
    255
  
  
    
      
      
      Liked
    
      
    255",/marvisirmed/status/991216468657410048
@MianHar22261255 @MianHar22261255 @MianHar22261255 @MianHar22261255 @MianHar22261255 @sardarzaidPMLN,Mian Haris‏ @MianHar22261255,18h18 hours ago,,,"Pervez Musharraf should be trialed for handing over Pakistan to America, he handed over America logistics sport and still then it is the serving America, killing the innocent people of waziristan for nothing economy has gone into loss of Pakistan.@MaryamNSharif @SakiaMMSS",1 1 1 1,"Retweet
    
      
    1
  
  
    
      
      Retweeted
    
      
    1",,"Like
    
      
    1
  
  
    
      
      
      Liked
    
      
    1",/MianHar22261255/status/991164613449396224
@Sur_Inquilabi @Sur_Inquilabi @Sur_Inquilabi @Sur_Inquilabi @Sur_Inquilabi,Minhaj Swati‏ @Sur_Inquilabi,Apr 30,"#SongsOfFreedom2018,MashalKhan,BachaKhanUniAttack,Malala,SongsOfFreedom2018",#MashalKhan,"#SongsOfFreedom2018
We want an end to the education system which has killed many young students from #MashalKhan to #BachaKhanUniAttack it has bred killers of kids like Zainab. The narrative that has turned a killer into hero and curses peaceful #Malala 
#SongsOfFreedom2018",6 6 6 6,"Retweet
    
      
    6
  
  
    
      
      Retweeted
    
      
    6",,"Like
    
      
    6
  
  
    
      
      
      Liked
    
      
    6",/Sur_Inquilabi/status/991030369582493696
@Gondal2005 @Gondal2005 @Gondal2005 @Gondal2005 @Gondal2005 @Gondal2005 @nomi12575113,Naveed Razzaq‏ @Gondal2005,Apr 30,#OneShiningYearOfPTS,,"#OneShiningYearOfPTS 
The selfie  of the year, credit goes to @ImranKhanPTI because no other leader can even tolerate to be someone like this child so close to him pic.twitter.com/hD0PezyWXa",1 10 10 11 11,"Retweet
    
      
    10
  
  
    
      
      Retweeted
    
      
    10",,"Like
    
      
    11
  
  
    
      
      
      Liked
    
      
    11",/Gondal2005/status/990998405064339457
