UserName,FullName,Date,Hashtags,Tweet,Likes,RTs
,,Feb 9,"“,rape.”,Pakistan,MeToo,JusticeforZainab","“ despite the decision of the country's top court, out-of-court settlements often remain the only means of resolution available to victims of #rape.” My blog on compromises in rape cases #Pakistan #MeToo #JusticeforZainab https://www.dawn.com/news/1388120",,
,,Feb 8,"Good,JusticeForZainab",Good sense prevails. Now lets focus on systemic reform rather than public spectacles. #JusticeForZainab “CII advises against amending law to allow public hanging” https://tribune.com.pk/story/1629836/1-cii-advises-amending-law-allow-public-hanging/ …,,
,,Feb 8,"We,justiceforzainab,justicefornation,Zainab","We are confused if to appreciate our Govt. Or be ashamed on this case. Rapist and Murderers of innocent should be hanged in public. 
#justiceforzainab #justicefornation #Zainab",,
,,Feb 8,"#JusticeForNation,Justice4ModelTown,JusticeForNaqib,Justice4HamzaAndZeeshan,JusticeForZainab,JusticeForAsmaRani","#JusticeForNation 
@TahirulQadri 
This is the proper time to stand up for real change! 
#Justice4ModelTown 
#JusticeForNaqib 
#Justice4HamzaAndZeeshan 
#JusticeForZainab 
#JusticeForAsmaRani 
@AtiqRehmanPAT
@hasanmsm @Ayesha299 @Arshad_sg @OfficialDGISPR @aneeslodhi09pic.twitter.com/aQwYYQnBkX",,
,,Feb 8,"Poignant,MeToo,TimesUp,LarryNassar,JusticeForZainab",Poignant oped on sexual harassment by @mansuraminhas #MeToo #TimesUp #LarryNassar #JusticeForZainab  http://www.miamiherald.com/opinion/op-ed/article199016574.html …,,
,,Feb 7,"Imran,MashalKhan,MashalMurderCase,ZainabMurderCase,JusticeForZainab","Imran Ali having a religious background and his father is an active member of a religious party. 
#MashalKhan #MashalMurderCase #ZainabMurderCase #JusticeForZainab",,
,,Feb 4,"The,JusticeForZainab","The media follow up on the brutal rape and murder of  Zainab fading away as fresh fodder feeds in the media machinery.
Why is #JusticeForZainab allowed to fade in sub-text?",,
,,Feb 4,"Ik,PashtunRejectStateTerrorism,PashtunLongMarch,JusticeForZainab","Ik to crowd: many of you’re mehsud here so...!!
And the whole crowd chanted No No we are only Pashtuns call us pashtuns. 
the unity is un breakable this time alhumdulilah.
#PashtunRejectStateTerrorism #PashtunLongMarch #JusticeForZainab",,
,,Jan 31,"**Zalzale,JusticeForAsmaRani,JusticeForZainab,JusticeForNaqeeb,JusticeForWomen","**Zalzale kyn Aatey hain?**
#JusticeForAsmaRani 
#JusticeForZainab 
#JusticeForNaqeeb 
#JusticeForWomen 
Humanity?
Women rights?
Justice?",,
,,Jan 30,"Trends,JusticeForZainab,JusticeForIntezar.,JusticeForNaqib,JuticeForAsma.,JusticeForMaqsood,JusticeForAsmaRani.","Trends On Twitter Keep On Changing.
 From #JusticeForZainab To #JusticeForIntezar.
 From #JusticeForNaqib To #JuticeForAsma. 
From #JusticeForMaqsood To #JusticeForAsmaRani.
And The List Goes On. 
Will They Ever Get Justice? Or We Need More Trends?",,
