,head,topic_rep
152,"Monsoon this year has arrived early, will have fewer rainy days",0.35788974165916443
153,Diplomatic Calendar: What do diplomats do during Eid in Islamabad?,0.0
154,82 per cent of lawmakers’ questions remain unanswered in PA,0.0
155,New varieties to keep  sugarcane output high,0.8709027767181396
156,Google is fighting a losing war  with the EU,0.3273068964481354
157,"New cyberattack goes global, hits WPP, Rosneft, Maersk",0.1433384269475937
158,"When it pours, Karachi bosses fail to respond",0.10315188765525818
159,Water shortage: management challenges,0.966691792011261
160,NCHR takes notice of contaminated water supply to Islamabad,0.31414103507995605
161,Governor casts doubt on accountability if NAB law abolished,0.0
162,PM asks KP governor to monitor Parachinar compensation payment,0.0
163,"BIEK officials collude with ‘agent mafia’ in cheating, exam malpractices: CTD report",0.0
164,An affinity between ideas and technology,0.5533542633056641
165,The great game: The politics of houbara hunting in Pakistan,0.09771894663572311
166,"PM’s daughter, sons set to face JIT this week",0.026918480172753334
167,"McCain urges India, Pakistan to hold talks on Kashmir issue",0.029375867918133736
168,Shahbaz claims Raymond Davis book proves he was right,0.03764486685395241
169,Six girls of a family killed as van catches fire near Multan,0.0
170,"Indian gang-rape survivor attacked with acid, yet again",0.0
171,"Man blows himself up in Damascus after car chase, kills 18",0.0
172,PTI not to pursue other cases till end of Panamagate probe,0.0
173,Wind projects: Sindh request for upfront tariff rejected,0.9094036221504211
174,US says Pakistan making efforts to eliminate human trafficking,0.18021129071712494
175,IDA’s $135m to help improve weather forecast system,0.9187090992927551
176,Trump tweets video of him beating ‘CNN’,0.0
177,Taliban kill 13 pro-government fighters in north Afghanistan,0.0
178,Samsung confirms launch of refurbished Galaxy Note 7s,0.15753106772899628
179,Italy urges EU ports to take migrants as pressure builds,0.0
180,Three female militants arrested in BD,0.0
181,Afghanistan’s all-girl robotics team fails to get US visas,0.0
182,Israel’s Olmert: from promise to prison,0.0
183,Papers completed for release of 100 fishermen held in Indian jails,0.0
184,'I wish I knew one reason why the rest of Pakistan ignores Parachinar',0.0
185,"‘America First’, the world last",0.3762668967247009
186,Hasaranga bags debut hat-trick as Sri Lanka whip Zimbabwe,0.0
187,How Muslims and Hindus of Tando Adam came together in Ramazan,0.0846034362912178
188,Eight ads with great insight!  ,0.010432261973619461
189,"Global political dynamics hindering resolution of conflict in Kashmir, Palestine: Lodhi",0.0
190,Jamshed Dasti released from prison,0.0
191,Death toll from Bahawalpur explosion rises to 206,0.0
192,Two rebels killed in India-held Kashmir firefight,0.0
193,PM Modi ends speech with iconic Darth Vader theme and Twitter is super confused,0.0
194,"Dar accuses Imran Khan of tax theft, lying in post-JIT hearing presser",0.0
195,Wiki Loves Earth shortlists top 10 photos in Pakistan round,0.0
196,Women directors in Pakistan to more than double in three years,0.4474759101867676
197,Isolated India reaching out to US to pressurise China: Sartaj Aziz,0.0
198,5 red carpet looks the Yalghaar leading ladies have us swooning over,0.0
199,China says India violates 1890 agreement in border stand-off,0.0
200,"US senators visit South Waziristan, praise advances made by military",0.022829309105873108
201,Bill exempting Sindh govt from national accountability laws passed,0.0
202,Qatar responds to Saudi Arabia's demands hours after deadline extended,0.030597340315580368
203,Salman Khan and Shah Rukh Khan to shake a leg together on-screen?,0.0
204,Baaghi teaser 2: Qandeel Baloch is every career-driven Pakistani woman,0.0
205,Sajjad bulldozes Lee Chun Wai to annex Asian 6-Reds snooker title,0.0
206,"Today's dramas don't depict the society we belong to, says Amjad Islam Amjad",0.0
207,Tesla's Musk says Model 3 gets regulatory nod for production,0.5514528155326843
208,At least 12 dead as two rival groups clash in Shikarpur,0.0
209,Xi told Trump US-China ties hit by 'negative factors': state media,0.0
210,"India, Australia march ahead in women’s World Cup, leaving Pakistan behind",0.0
211,House of cards starts to tumble,0.5558624863624573
212,Rupee weak against euro,0.0
213,The arrival of clean energy in Pakistan,0.8776931762695312
214,Steel mills prepare to meet CPEC demand,0.8021247982978821
215,Thomas wins opener as Froome lays down early marker,0.0
216,Horn stuns Pacquiao to win WBO crown,0.0
217,Surprising to see Shahbaz blame players: Mudassar,0.0
218,Struggling West Indies set India modest target,0.0
219,Raymond Davis mystery,0.0
220,The terrorists’ bluff,0.0
221,Fawad's snub and HSY's favouritism: Meera reveals all in exclusive interview,0.0
222,"8 wounded in France mosque shooting, not terrorism: prosecutor",0.0
223,"The Big Sick is important, it deals with Muslims being regarded with suspicion: Anupam Kher",0.0
224,Modi set to become first Indian PM to visit Israel,0.1348312646150589
225,"'What are we accused of,' Hassan Nawaz asks at third JIT appearance",0.0
226,"Trump discusses concern over Qatar dispute with Gulf, Arab states in calls",0.0
